227,200
291,226
176,72
146,342
226,62
216,163
348,177
150,103
160,115
216,187
317,251
91,190
100,255
194,97
195,235
162,217
238,54
311,94
250,272
45,156
102,219
283,284
227,237
285,215
183,316
102,198
80,83
280,208
278,163
273,173
90,185
153,300
204,323
183,139
243,160
119,305
284,154
194,66
85,282
158,160
110,230
259,53
130,259
66,322
232,151
119,86
73,139
303,132
316,153
136,145
277,216
252,254
150,117
168,319
230,334
230,69
73,110
82,107
249,210
84,127
101,300
91,273
93,80
118,154
204,322
218,220
325,221
96,155
129,88
151,236
131,222
296,183
55,81
302,104
170,333
79,349
109,149
325,120
356,114
215,305
217,251
344,318
272,253
90,152
337,251
146,212
182,349
121,140
223,74
306,217
272,334
113,120
176,226
248,134
243,72
267,231
318,118
275,146
131,260
74,207
